x,y,p,tv,av,rv,sv
 1.050000000E-02, 5.299999833E-02, 4.537405080E-03, 1.263284453E-02, 4.322578808E-05,-4.85E-05, 1.263235369E-02
 1.065000000E-02, 5.299999833E-02, 4.541221818E-03, 1.221688779E-02, 4.777489252E-05,-1.41E-04, 1.221565345E-02
 1.080000000E-02, 5.299999833E-02, 4.557232956E-03, 1.180656035E-02, 5.221178137E-05,-2.28E-04, 1.180392050E-02
 1.095000000E-02, 5.299999833E-02, 4.584125375E-03, 1.140358541E-02, 5.643611982E-05,-3.08E-04, 1.139894695E-02
 1.110000000E-02, 5.299999833E-02, 4.620459334E-03, 1.100956950E-02, 6.034615897E-05,-3.83E-04, 1.100241850E-02
 1.125000000E-02, 5.299999833E-02, 4.664682956E-03, 1.062601340E-02, 6.384278718E-05,-4.51E-04, 1.061592203E-02
 1.140000000E-02, 5.299999833E-02, 4.715160873E-03, 1.025432113E-02, 6.683023771E-05,-5.13E-04, 1.024095125E-02
 1.155000000E-02, 5.299999833E-02, 4.770282710E-03, 9.895810226E-03, 6.921881395E-05,-5.69E-04, 9.878913868E-03
 1.170000000E-02, 5.299999833E-02, 4.828532329E-03, 9.551719416E-03, 7.092868640E-05,-6.18E-04, 9.531136671E-03
 1.185000000E-02, 5.299999833E-02, 4.888501283E-03, 9.223211524E-03, 7.189388743E-05,-6.62E-04, 9.198866284E-03
 1.200000000E-02, 5.299999833E-02, 4.948880516E-03, 8.911371441E-03, 7.206363265E-05,-7.00E-04, 8.883265003E-03
 1.215000000E-02, 5.299999833E-02, 5.008492818E-03, 8.617213064E-03, 7.140130266E-05,-7.33E-04, 8.585416413E-03
 1.230000000E-02, 5.299999833E-02, 5.066310277E-03, 8.341675983E-03, 6.988576060E-05,-7.62E-04, 8.306321205E-03
 1.245000000E-02, 5.299999833E-02, 5.121452883E-03, 8.085622961E-03, 6.751196143E-05,-7.86E-04, 8.046894098E-03
 1.260000000E-02, 5.299999833E-02, 5.173174601E-03, 7.849842681E-03, 6.428994179E-05,-8.06E-04, 7.807966580E-03
 1.275000000E-02, 5.299999833E-02, 5.220897597E-03, 7.635049899E-03, 6.024330156E-05,-8.22E-04, 7.590287269E-03
 1.290000000E-02, 5.299999833E-02, 5.264243836E-03, 7.441883805E-03, 5.541054982E-05,-8.35E-04, 7.394521016E-03
 1.305000000E-02, 5.299999833E-02, 5.302959279E-03, 7.270906996E-03, 4.985121192E-05,-8.46E-04, 7.221248688E-03
 1.320000000E-02, 5.299999833E-02, 5.336720210E-03, 7.122607224E-03, 4.363229093E-05,-8.54E-04, 7.070970351E-03
 1.335000000E-02, 5.299999833E-02, 5.365413281E-03, 6.997399240E-03, 3.682287499E-05,-8.61E-04, 6.944108350E-03
 1.350000000E-02, 5.299999833E-02, 5.389035471E-03, 6.895626563E-03, 2.951829884E-05,-8.65E-04, 6.841009430E-03
 1.365000000E-02, 5.299999833E-02, 5.407210914E-03, 6.817562353E-03, 2.182165077E-05,-8.68E-04, 6.761946010E-03
 1.380000000E-02, 5.299999833E-02, 5.419669842E-03, 6.763410395E-03, 1.382782785E-05,-8.70E-04, 6.707120146E-03
 1.395000000E-02, 5.299999833E-02, 5.426507578E-03, 6.733305299E-03, 5.633867004E-06,-8.71E-04, 6.676665605E-03
 1.410000000E-02, 5.299999833E-02, 5.428300727E-03, 6.727317970E-03,-2.65E-06,-8.71E-04, 6.670649606E-03
 1.425000000E-02, 5.299999833E-02, 5.424971445E-03, 6.745451091E-03,-1.09E-05,-8.70E-04, 6.689073674E-03
 1.440000000E-02, 5.299999833E-02, 5.415989615E-03, 6.787641544E-03,-1.90E-05,-8.68E-04, 6.731875674E-03
 1.455000000E-02, 5.299999833E-02, 5.401405803E-03, 6.853764908E-03,-2.69E-05,-8.64E-04, 6.798929475E-03
 1.470000000E-02, 5.299999833E-02, 5.381427200E-03, 6.943628286E-03,-3.45E-05,-8.60E-04, 6.890041984E-03
 1.485000000E-02, 5.299999833E-02, 5.356398733E-03, 7.056971660E-03,-4.16E-05,-8.54E-04, 7.004952775E-03
 1.500000000E-02, 5.299999833E-02, 5.326366654E-03, 7.193468114E-03,-4.82E-05,-8.46E-04, 7.143331376E-03
 1.515000000E-02, 5.299999833E-02, 5.291383950E-03, 7.352722294E-03,-5.42E-05,-8.36E-04, 7.304775443E-03
 1.530000000E-02, 5.299999833E-02, 5.251751851E-03, 7.534269909E-03,-5.95E-05,-8.23E-04, 7.488810034E-03
 1.545000000E-02, 5.299999833E-02, 5.207721093E-03, 7.737573973E-03,-6.41E-05,-8.08E-04, 7.694882251E-03
 1.560000000E-02, 5.299999833E-02, 5.159626109E-03, 7.962026238E-03,-6.79E-05,-7.89E-04, 7.922361564E-03
 1.575000000E-02, 5.299999833E-02, 5.107966920E-03, 8.206944227E-03,-7.09E-05,-7.67E-04, 8.170535942E-03
 1.590000000E-02, 5.299999833E-02, 5.053388861E-03, 8.471574447E-03,-7.31E-05,-7.41E-04, 8.438614112E-03
