x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 5.954999867E-02, 5.000000000E-02,-1.84E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.05E+00
 5.969999867E-02, 5.000000000E-02,-1.82E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.19E+00
 5.984999866E-02, 5.000000000E-02,-1.80E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.35E+00
 5.999999866E-02, 5.000000000E-02,-1.77E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.53E+00
 6.014999866E-02, 5.000000000E-02,-1.75E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.72E+00
 6.029999865E-02, 5.000000000E-02,-1.72E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.92E+00
 6.044999865E-02, 5.000000000E-02,-1.69E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.13E+00
 6.059999865E-02, 5.000000000E-02,-1.66E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.35E+00
 6.074999864E-02, 5.000000000E-02,-1.62E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.57E+00
 6.089999864E-02, 5.000000000E-02,-1.59E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.80E+00
 6.104999864E-02, 5.000000000E-02,-1.55E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.02E+00
 6.119999863E-02, 5.000000000E-02,-1.51E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.25E+00
 6.134999863E-02, 5.000000000E-02,-1.47E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.46E+00
 6.149999863E-02, 5.000000000E-02,-1.43E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.68E+00
 6.164999862E-02, 5.000000000E-02,-1.39E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.89E+00
 6.179999862E-02, 5.000000000E-02,-1.36E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.09E+00
 6.194999862E-02, 5.000000000E-02,-1.32E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.29E+00
 6.209999861E-02, 5.000000000E-02,-1.28E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.48E+00
 6.224999861E-02, 5.000000000E-02,-1.24E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.66E+00
 6.239999861E-02, 5.000000000E-02,-1.20E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.83E+00
 6.254999860E-02, 5.000000000E-02,-1.17E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.00E+00
 6.269999860E-02, 5.000000000E-02,-1.13E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.15E+00
 6.284999860E-02, 5.000000000E-02,-1.10E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.30E+00
 6.299999859E-02, 5.000000000E-02,-1.07E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.43E+00
 6.314999859E-02, 5.000000000E-02,-1.03E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.56E+00
 6.329999859E-02, 5.000000000E-02,-1.01E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.68E+00
 6.344999858E-02, 5.000000000E-02,-9.79E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.78E+00
